tool,slug,websiteUrl,category
"ChatGPT","chatgpt","https://chat.openai.com","AI Agents"
"Perplexity","perplexity","https://www.perplexity.ai","AI Research"
"Midjourney","midjourney","https://www.midjourney.com","AI Design"
"Ideogram","ideogram","https://ideogram.ai","AI Design"
"Gamma","gamma","https://gamma.app","AI Design"
"CapCut","capcut","https://www.capcut.com","AI Video"
"Descript","descript","https://www.descript.com","AI Voice"
"Udio","udio","https://udio.com","AI Voice"
"NotebookLM","notebooklm","https://notebooklm.google","AI Research"
"Make","make","https://www.make.com","AI Automation"
"Typefully","typefully","https://typefully.com","AI Marketing"
"Taplio","taplio","https://taplio.com","AI Marketing"
"LinkedIn","linkedin","https://www.linkedin.com","AI Marketing"
"Google Maps","google-maps","https://www.google.com/maps","AI Research"
"Vtuber Assistant","vtuber-assistant","https://store.steampowered.com/app/4464930/Vtuber_Assistant","AI Avatars"
"Thrive Financial","thrive-financial","https://thrivefinancial.app","AI Coding"
"FastiAds","fastiads","https://www.fastiads.com","AI Marketing"
"UFate","ufate","https://www.ufate.ai","AI Productivity"
"ApiPosture","apiposture","https://www.apiposture.com","AI Coding"
"BuddyPro","buddypro","https://buddypro.ai","AI Productivity"
"PlotStudio AI","plotstudio-ai","https://www.plotstudio.ai","AI Agents"
"General Compute","general-compute","https://www.generalcompute.com","AI Design"
"Franki","franki","https://www.chat-to-franki.com","AI Voice"
"TeachQuill","teachquill","https://teachquill.com","AI Education"
"OpenBudget","openbudget","https://openbudget.sh","AI Marketing"
"EduSolver","edusolver","https://edusolver.io","AI Education"
"NDORFlow","ndorflow","https://ndorflow.app","AI Productivity"
"Melody Genie","melody-genie","https://melodygenie.app","AI Music"
"Link To Text","link-to-text","https://linktotext.co","AI Video"
"Dokie","dokie","https://dokie.ai","AI Agents"
"WebZum","webzum","https://webzum.com","AI Meeting"
"Gamelabs Studio","gamelabs-studio","https://gamelabstudio.co","AI Productivity"
"ShortsMate","shortsmate","https://shortsmate.ai","AI Video"
"Adrian","adrian","https://github.com/secureagentics/Adrian","AI Agents"
"CEOfriend","ceofriend","https://www.ceofriend.ai","AI Productivity"
"Distill.cv","distill-cv","https://distill.cv","AI Writing"
"Image3D AI","image3d-ai","https://www.aiimageto3d.com","AI Image"
"Matrix Coder","matrix-coder","https://matrixcoder.io","AI Coding"
"Thumbs AI","thumbs-ai","https://www.thumbs.ai","AI Video"
"VideoSwap.app","videoswap-app","https://www.videoswap.app","AI Video"
"SocialClip Studio","socialclip-studio","https://socialclipstudio.com","AI Video"
"Baby Magic","baby-magic","https://www.babymagic.app/ai-baby-image","AI Video"
"HitPublish","hitpublish","https://www.hitpublish.ai","AI Productivity"
"Ask Bishop","ask-bishop","https://askbishop.app","AI Agents"
"Quorlyx Pro","quorlyx-pro","https://quorlyx.dev","AI Agents"
"Scavio AI","scavio-ai","https://scavio.dev","AI Coding"
"Rift","rift","https://rift-code.com","AI Coding"
"DineCraft","dinecraft","https://www.dinecraft.app","AI Design"
"Teneks","teneks","https://www.teneks.ai","AI Sales"
"Team Pulse","team-pulse","https://goteampulse.io","AI Design"
"Browserbeam","browserbeam","https://browserbeam.com","AI Coding"
"AuthentaLink","authentalink","https://authentalink.com","AI Productivity"
"Introvrs","introvrs","https://www.introvrs.com","AI Productivity"
"TextSongAI.com","textsongai-com","https://www.textsongai.com","AI Music"
"Nomie","nomie","https://apps.apple.com/us/app/nomie-doomscrolling-break/id6757396354","AI Productivity"
"Clocsy","clocsy","https://clocsy.com","AI Marketing"
"Pounce","pounce","https://www.pounce.so","AI Marketing"
"FaceHub AI","facehub-ai","https://www.facehub.ai","AI Image"
"AI Product Photography.app","ai-product-photography-app","https://aiproductphotography.app","AI Image"
"MusVideo","musvideo","https://musvideo.ai","AI Video"
"Silky AI","silky-ai","https://www.aihair.life","AI Productivity"
"InstantTranscriber","instanttranscriber","https://instanttranscriber.com","AI Video"
"MagicReels","magicreels","https://magicreels.media","AI Image"
"Vidlogi","vidlogi","https://www.vidlogi.com/en","AI Video"
"Sunny by Sunburnt AI","sunny-by-sunburnt-ai","https://sunburntai.com.au/sunny-agentic-ai-operating-system","AI Agents"
"AI Landscape Design by Yuzu","ai-landscape-design-by-yuzu","https://yuzudesign.ai/landscape-design-ai","AI Writing"
"Koinonos","koinonos","https://www.koinonos.app","AI Agents"
"DebaterX","debaterx","https://www.debaterx.app","AI Video"
"Ozigi","ozigi","https://ozigi.app","AI Audio"
"Rundown","rundown","https://getrundown.xyz","AI Video"
"Whisper Web","whisper-web","https://whisperweb.tech","AI Voice"
"Prosed","prosed","https://tryprosed.com","AI Writing"
"Ask the Record","ask-the-record","https://www.asktherecord.com","AI Agents"
"AstroCarto","astrocarto","https://astrocarto.net","AI Productivity"
"OptiHedge","optihedge","https://optihedge.ai","AI Productivity"
"SongMuse AI","songmuse-ai","https://songmuse.art","AI Music"
"AI Image 2 Video","ai-image-2-video","https://aiimage2video.pro","AI Video"
"SpeedPainter","speedpainter","https://www.speedpainter.org/en","AI Video"
"RFP.ai","rfp-ai","https://rfp.ai","AI Coding"
"Live Like The River","live-like-the-river","https://www.liveliketheriver.com","AI Productivity"
"Paraspeech","paraspeech","https://paraspeech.com","AI Voice"
"Vertech Academy","vertech-academy","https://www.vertechacademy.ca","AI Research"
"Vireel AI Image to Video Generator","vireel-ai-image-to-video-generator","https://vireels.ai/ai-image-to-video","AI Video"
"AI Aware","ai-aware","https://aiaware.io","AI Video"
"MadeFine AI","madefine-ai","https://madefine.ai","AI Automation"
"Lyric Remix Studio","lyric-remix-studio","https://lyricremixgemini.iacolettisoftware.com","AI Voice"
"DashJob AI","dashjob-ai","https://dashjob.ai","AI Search"
"DescribeThat","describethat","https://describethatclaude.iacolettisoftware.com","AI Image"
"Vdoo AI","vdoo-ai","https://vdoo.ai/image-to-video","AI Video"
"Himedia","himedia","https://himedia.ai/image-to-video","AI Video"
"Vidnix","vidnix","https://vidnix.ai/image-to-video","AI Video"
"AI Photo Editor","ai-photo-editor","https://aiphotoeditor.io","AI Image"
"PAI","pai","https://www.utopaistudios.com/waitlist","AI Video"
"Creen AI","creen-ai","https://www.creen.ai","AI Video"
"AI Kiss","ai-kiss","https://aikiss.art","AI Video"
"Vidflux","vidflux","https://vidflux.ai/video-effect/ai-bikini-video-generator","AI Video"
"VoooAI","voooai","https://voooai.com","AI Customer Support"
"Music Video Generator","music-video-generator","https://musicvideogenerator.app","AI Video"
"CleanVideoAI Watermark Removal","cleanvideoai-watermark-removal","https://www.videowatermarkremove.com","AI Video"
"Rusheslab","rusheslab","https://rusheslab.ai","AI Meeting"
"Fineshare Sora Watermark Remover","fineshare-sora-watermark-remover","https://www.fineshare.net/ai-video/sora-watermark-remover","AI Video"
"MixMaster Pro","mixmaster-pro","https://mixmasterpro.io","AI Audio"
"Slidely AI (backed by YC)","slidely-ai-backed-by-yc","https://slidely.ai","AI Marketing"
"Base44","base44","https://base44.pxf.io/c/6410050/2477538/25619?trafcat=hp","AI Coding"
"biela.dev","biela-dev","https://biela.dev","AI Coding"
"Unblur Image by Uluch","unblur-image-by-uluch","https://uluch.com","AI Image"
"Singify AI Vocal Remover","singify-ai-vocal-remover","https://singify.co/vocal-remover","AI Music"
"V03 AI Video Generator","v03-ai-video-generator","https://v03ai.com","AI Video"
"Redesignr Ai","redesignr-ai","https://redesignr.ai","AI Writing"
"PrometAI","prometai","https://prometai.app/business-plan-templates","AI Productivity"
"Archie","archie","https://www.archie.com","AI Coding"
"Marblism","marblism","https://www.marblism.com","AI Productivity"
"Osum","osum","https://osum.com","AI Search"
"Venturekit","venturekit","https://www.venturekit.ai","AI Productivity"
"MyReport","myreport","https://myreport.alaba.ai","AI Analytics"
"ResolveAI","resolveai","https://resolveai.co","AI Agents"
"Eightify","eightify","https://www.eightify.app","AI Video"
"KeywordSearch","keywordsearch","https://www.keywordsearch.com","AI Video"
"GetLogit","getlogit","https://getlogit.com","AI Writing"
"lxi.ai","lxi-ai","https://lxi.ai","AI Research"
"B12 AI Website Builder","b12-ai-website-builder","https://www.b12.io/free-draft","AI Design"
"Kavout","kavout","https://www.kavout.com/?fpr=whatshuang","AI Search"
"AssemblyAI","assemblyai","https://www.assemblyai.com","AI Voice"
"DataRobot","datarobot","https://www.datarobot.com","AI Productivity"
"Deep Beat","deep-beat","https://deepbeat.org","AI Music"
"AI","ai","https://ai-writer.com","AI Writing"
"Deepdreamgenerator","deepdreamgenerator","https://deepdreamgenerator.com/generate","AI Image"
