tool,slug,total_valid_proof_posts,unique_author_count,displayed_post_count,displayed_unique_author_count,used_repeat_author_fallback,displayed_authors
Activepieces,activepieces,10,9,3,3,false,_adarshtwt | thatsefm | akramcodez
Adapt,adapt,10,8,3,3,false,coresculture | gamn4life | ronald_vanloon
Adobe Firefly,adobe-firefly,10,8,3,3,false,aunysillyme | azed_ai | theogsavageaeri
AgentOps,agentops,10,6,3,3,false,n_sri_laasya | adamsilverman | gregkamradt
Apollo,apollo,10,9,3,3,false,riyazmd774 | orthogonal_sh | __brandoncorona
Arkham,arkham,4,4,3,3,false,aigarxyz | drugozz | glowtokenorg
Augment Code,augment-code,10,9,3,3,false,claudeai | mikeysee | warpdotdev
Bolt,bolt,10,10,3,3,false,claudeai | levelsio | trynullsec
Canva AI,canva-ai,10,8,3,3,false,aaliya_va | sayoopajimi | jhoie__
CapCut,capcut,10,10,3,3,false,gilangr90760584 | 0xileri | hedo_ist
CatDoes,catdoes,10,9,3,3,false,yeonjidev | thisiskp_ | ayushagarwal
Character.AI,character-ai,10,6,3,3,false,governorshapiro | pagovoffice | sailorlightblue
ChatGPT,chatgpt,10,6,3,3,false,cryptic_web3 | abs_uiux | obsidian_fr1
Claude,claude,10,10,3,3,false,0xboku | cryptic_web3 | james_mccomish
Cline,cline,10,9,3,3,false,branarakic | minimax_ai | origin_trail
CodeRabbit,coderabbit,10,8,3,3,false,matthewgunnin | verycracked | jdxcode
Connected Papers,connected-papers,8,6,3,3,false,faheem_uh | arxiv | sid_srk
Consensus,consensus,10,9,3,3,false,1752vc | timdraper | biolayne
CrewAI,crewai,10,10,3,3,false,akshay_pachaar | brave | datachaz
Cursor,cursor,10,10,3,3,false,atvictor | benkimbuilds | ladicodez
DeepBrain AI,deepbrain-ai,7,7,3,3,false,faheem_uh | defiancemediatv | lavonneroberts
DefiLlama,defillama,8,8,3,3,false,wagmialexander | angelo_onchain | patfscott
Descript,descript,10,7,3,3,false,biscuitweb3 | jayneil | yxgna_12
Dify,dify,10,8,3,3,false,iharnoorsingh | gmi_cloud | orcarouter
ElevenLabs,elevenlabs,10,10,3,3,false,mati | elevencreative | aleximm
Elicit,elicit,10,8,3,3,false,natalienkhalil | bimedotcom | vivalapanda
Exa,exa,2,2,2,2,false,siliveru_v30261 | davidmeltzer
Fetcher,fetcher,5,4,3,3,false,recruitingblogs | ashasaxena101 | recruitingdaily
Floot,floot,10,4,3,3,false,yyjhao | jeredking | guilleflorvs
Flowise,flowise,10,9,3,3,false,leonvz | buchatech | truefoundry
Flux (Black Forest Labs),flux-black-forest-labs,10,7,3,3,false,chrisge05 | fal | stacy_muur
Framer,framer,10,10,3,3,false,cedric_design | mikexbranderest | designedbypaul
Framer AI,framer-ai,10,10,3,3,false,cedric_design | mikexbranderest | designedbypaul
Freepik AI,freepik-ai,10,7,3,3,false,anima_labs | beholdthe84 | abandonedmuse
Gamma,gamma,10,10,3,3,false,rosemoni18 | nikola_mr64990 | hayyantechtalks
GitHub Copilot,github-copilot,10,7,3,3,false,xboxgamedev | 5mukx | openmind_agi
Glassnode,glassnode,10,9,3,3,false,defi_warhol | cointelegraph | top7ico
Glean,glean,10,8,3,3,false,tonygentilcore | jainarvind | axios
Granola,granola,10,10,3,3,false,paularambles | bruvimtired | soleio
Grok,grok,10,10,3,3,false,stonetoss | cyberjujuuu | oloriebibet
Gumloop,gumloop,10,9,3,3,false,lennysan | gustaf | josephbath27
H2O.ai,h2o-ai,10,5,3,3,false,srisatish | pandeyparul | haroldsinnott
Hedra,hedra,10,9,3,3,false,saniaspeaks_ | lupin_ai_coder | ravikumarsahu78
HeyGen,heygen,10,9,3,3,false,sirionchainx | cruzzctrl1 | ourtemples
Hour One,hour-one,10,10,3,3,false,reidhoffman | riyazmd774 | googlecloud
HubSpot,hubspot,10,9,3,3,false,imsalariasahil | dharmesh | techweek_
Ideogram,ideogram,10,10,3,3,false,vortex_promos | ostrisai | mtslive
Inbenta,inbenta,2,2,2,2,false,omkar_raii | thisweekinvoice
Instantly,instantly,10,10,3,3,false,aaliya_va | jammyvfx | bym1xa
Inworld,inworld,10,9,3,3,false,cloudflaredev | livekit | replicate
Jasper,jasper,10,8,3,3,false,stacy_muur | julien_c | arcreactorai
Kaedim,kaedim,10,10,3,3,false,uplandme | jacksoslow | xonebros
Kalshi,kalshi,10,9,3,3,false,thegrandetop10 | lzminsky | brentscher
Kling,kling,10,7,3,3,false,strength04_x | jaykay65220066 | aianddesign
Krea,krea,10,10,3,3,false,stacy_muur | alievimrakh | bobbymind
Langflow,langflow,10,8,3,3,false,groqinc | itsafiz | python_spaces
Layer AI,layer-ai,10,10,3,3,false,gizakdag | genzio | coin_artist
Leonardo AI,leonardo-ai,1,1,1,1,false,zeng_wt
Lindy,lindy,10,10,3,3,false,anujcodes_21 | chrisbarber | thisiskp_
Linear,linear,10,7,3,3,false,karrisaarinen | pdotcv | griveau
Lovable,lovable,10,10,3,3,false,claudeai | wilson_spearman | felixhhaas
Ludo AI,ludo-ai,10,2,3,2,true,lumeberrymedia | codeprojektgrit | lumeberrymedia
Luma,luma,10,8,3,3,false,baaadas | stacy_muur | designarena
Magnific,magnific,10,9,3,3,false,dvorahfr | allaaisling | vortex_promos
Make,make,10,10,3,3,false,veedstudio | call_me_commy | sab8a
Manus,manus,10,9,3,3,false,sonofpeace0001 | freecodecamp | stacy_muur
Meshy,meshy,10,7,3,3,false,niftyisland | weeping_death | keenanisalive
Messari,messari,10,10,3,3,false,octra | lucasmacchia2 | wardenprotocol
Midjourney,midjourney,10,2,3,2,true,timetravelwalls | maxime887812 | timetravelwalls
n8n,n8n,10,10,3,3,false,asenkut | kingdemark | daytonaio
Nansen,nansen,8,8,3,3,false,marcinpress | defi_warhol | evgen_by
NotebookLM,notebooklm,10,9,3,3,false,google | bha74142shivani | newsfromgoogle
Notion AI,notion-ai,10,10,3,3,false,kurissuuu | n_sportelli | joulee
OpenArt,openart,10,10,3,3,false,samaidirector | saniaspeaks_ | kingofdairyque
Option Alpha,option-alpha,10,7,3,3,false,hermeslux | tradestation | capjack2000
Perplexity,perplexity,10,9,3,3,false,aaliya_va | canva | public
Photoroom,photoroom,10,7,3,3,false,risingsayak | cdethiersant | multimodalart
Pika,pika,10,9,3,3,false,stacy_muur | scobleizer | yulikay
Pipedream,pipedream,10,6,3,3,false,storyblok | pipedream | stackshareio
PixieBrix,pixiebrix,10,9,3,3,false,makadiaharsh | charmaine_klee | ratanchahar_
PixVerse,pixverse,10,10,3,3,false,allaaisling | futurevibesai | altfortomorrow
Playground AI,playground-ai,10,9,3,3,false,suhail | tldraw | njkumarr
Polycam,polycam,10,9,3,3,false,olstflow | aymericrabot | gabroxr
Polymarket,polymarket,10,9,3,3,false,scott_eth | predicti0r | kiruwaaaaaa
Qodo,qodo,10,6,3,3,false,nnennahacks | omarsar0 | langchain
QuantConnect,quantconnect,10,8,3,3,false,dydx | databentohq | echanqt
QuillBot,quillbot,10,10,3,3,false,learnwithbishal | amritanjali16 | crypto_bn
Ready Player Me,ready-player-me,10,10,3,3,false,cryptorank_vcs | xspectds | olivermaroney
Recraft,recraft,10,6,3,3,false,nebiusai | stacy_muur | romanchernin
remio,remio,8,8,3,3,false,hailey4ai | dipanshu_ai | thestartpod
remove.bg,remove-bg,10,7,3,3,false,i_muhammadali44 | evankirstel | aaroniker
Replit,replit,10,9,3,3,false,harleyf | shopify | timhaldorsson
Research Rabbit,research-rabbit,1,1,1,1,false,rsrchrabbit
Rocket,rocket,10,10,3,3,false,scobleizer | sripathiteja4 | freyabuilds
Rosebud AI,rosebud-ai,10,7,3,3,false,daievolutionhub | ygg_play | lishali88
Rows,rows,10,5,3,3,false,torbschulz | f | henrm_cruz
Runway,runway,10,8,3,3,false,stacy_muur | damn_coder | cfryant
Santiment,santiment,2,2,2,2,false,leonwaidmann | web3cryptopump
Saveto AI,saveto-ai,1,1,1,1,false,uneedlists
Scenario,scenario,10,3,3,3,false,rnschiehll | emmanuel_2m | savefilmer
Scite,scite,10,8,3,3,false,faheem_uh | malikules | raziaaliani
Semantic Scholar,semantic-scholar,3,3,3,3,false,faheem_uh | akariasai | umlandandreas
Slack,slack,10,10,3,3,false,brlands | jasonlk | becca_nfts
Sourcegraph,sourcegraph,10,6,3,3,false,swyx | danielnealadler | snyksec
Spline,spline,10,5,3,3,false,sebcornelius | dmitrylepisov | vgruev
Stockimg AI,stockimg-ai,6,5,3,3,false,vince19visuals | codedailyml | faheem_uh
Subquadratic,subquadratic,10,10,3,3,false,daniel_mac8 | gregkamradt | appenresearch
Suno,suno,10,10,3,3,false,ingi_erlingsson | mvanhorn | swang_co
Synthesia,synthesia,10,6,3,3,false,sebjohnsonuk | etnshow | alexvoica
Tabnine,tabnine,10,9,3,3,false,hartdrawss | amuldotexe | iphelipevr
Tavus,tavus,10,7,3,3,false,sdianahu | kwindla | cartesia
Tendem,tendem,2,1,2,1,true,tolokaai | tolokaai
TradingView,tradingview,10,3,3,3,false,traderdemircan | forexstophunter | jtheretohelp1
TrendSpider,trendspider,6,6,3,3,false,liathetrader | 0xtwat | zeiierman
Tripo,tripo,10,10,3,3,false,comfyui | levelsio | radiancefields
Typefully,typefully,10,10,3,3,false,marclou | degensing | eli5defi
Udio,udio,10,9,3,3,false,legio_x_ | r3plic4nt206 | deto_rdc
v0,v0,10,9,3,3,false,rauchg | aryamankhawow | yoheinishitsuji
Veed,veed,10,10,3,3,false,c3know | timikareem | monetizationdon
Vercel,vercel,10,8,3,3,false,rauchg | tracymassaro_ | agentphonehq
Veriff,veriff,10,10,3,3,false,masspay_io | ycombinator | xchangeon
Vidu,vidu,10,4,3,3,false,yazoraiz | vesperb_vt | bic_revelation
VoxDeck,voxdeck,5,5,3,3,false,diptish09 | sarahannabels | thatsefm
Windsurf,windsurf,10,10,3,3,false,rasta_syntax | trynullsec | sandeepdshah
Workato,workato,10,4,3,3,false,grinich | digitalocean | adamse
Zapier,zapier,10,9,3,3,false,wadefoster | imsalariasahil | bobrainerd
