tool,slug,x_handle,tweets_returned,useful_count,bad_count,proof_quality_score,best_3_tweet_urls,notes
remove.bg,remove-bg,@remove_bg,20,10,1,100,https://x.com/I_Muhammadali44/status/1983414447164272765 | https://x.com/EvanKirstel/status/1903480785698504886 | https://x.com/aaroniker/status/1768348479208767491,hard_reject_non_english:1
Replicate,replicate,@replicate,20,18,2,100,https://x.com/levelsio/status/2053820738805649731 | https://x.com/lucatac0/status/2051371079122264379 | https://x.com/jamesqquick/status/2062137321554604257,hard_reject_crypto_noise:2
Replit,replit,@replit,20,10,4,100,https://x.com/harleyf/status/2062590057794691268 | https://x.com/Shopify/status/2062583234139942974 | https://x.com/TimHaldorsson/status/2062592423482581395,hard_reject_non_english:2; hard_reject_crypto_noise:2
Retell AI,retell-ai,@retellai,20,19,1,100,https://x.com/lanceyyan/status/2027003817569755475 | https://x.com/brexHQ/status/2006045007287898148 | https://x.com/tarush_agarwal_/status/2041205262619705768,hard_reject_crypto_noise:1
Rocket,rocket,@rocketdotnew,20,10,2,100,https://x.com/Scobleizer/status/2050216838454501765 | https://x.com/sripathiteja4/status/2041572403789344851 | https://x.com/Freyabuilds/status/2047342400704860217,hard_reject_crypto_noise:2
Rodeo by TwelveLabs,rodeo-by-twelvelabs,@twelve_labs,20,20,0,100,https://x.com/lillian_ma_/status/2063727543732130247 | https://x.com/nicoleegong/status/2062367743710511118 | https://x.com/gmi_cloud/status/2057584078413861245,
Rosebud AI,rosebud-ai,@rosebud_ai,20,16,4,100,https://x.com/DAIEvolutionHub/status/2029181654322037234 | https://x.com/YGG_Play/status/2051952039752806439 | https://x.com/lishali88/status/2026798836149260583,hard_reject_non_english:3; hard_reject_crypto_noise:1
Rows,rows,@rowshq,20,18,2,100,https://x.com/torbschulz/status/2025924354807066829 | https://x.com/f/status/2025943571967119694 | https://x.com/HenrM_Cruz/status/1945838864574124186,hard_reject_non_english:1; hard_reject_crypto_noise:1
Runway,runway,@runwayml,20,10,0,100,https://x.com/stacy_muur/status/2061788423674109981 | https://x.com/Damn_coder/status/2062387103053558186 | https://x.com/cfryant/status/2062548408972333449,
Scenario,scenario,@scenario_gg,20,18,2,100,https://x.com/rnschiehll/status/2049491193789071650 | https://x.com/emmanuel_2m/status/2055057268626829520 | https://x.com/emmanuel_2m/status/2046124566540349482,hard_reject_crypto_noise:2
Scite,scite,@scite,20,17,3,100,https://x.com/Faheem_uh/status/1950132803909128256 | https://x.com/Faheem_uh/status/1927446977362403386 | https://x.com/malikules/status/1981096290021941729,hard_reject_non_english:3
Screen Studio,screen-studio,@screenstudio,20,18,2,100,https://x.com/pie6k/status/2050517280988029281 | https://x.com/metasal/status/2053663209488544141 | https://x.com/ritviii/status/2060086737964003349,hard_reject_non_english:1; hard_reject_crypto_noise:1
Sesame,sesame,@sesame,20,17,3,100,https://x.com/Stammy/status/2059700609360834779 | https://x.com/RileyRalmuto/status/2035548191714652627 | https://x.com/AnjneyMidha/status/2048929342735147229,hard_reject_non_english:3
Sierra,sierra,@SierraPlatform,20,17,3,100,https://x.com/parker__conrad/status/2052530101552877730 | https://x.com/benblumenrose/status/2052043256154964415 | https://x.com/sherwinwu/status/2054615192638738915,hard_reject_crypto_noise:3
Slack,slack,@slackhq,20,10,4,100,https://x.com/brlands/status/2061433163641954657 | https://x.com/jasonlk/status/2060878172632105002 | https://x.com/becca_nfts/status/2060438418635550818,hard_reject_crypto_noise:3; hard_reject_non_english:1
Smallest AI,smallest-ai,@smallest_ai,20,20,0,100,https://x.com/jackedAJ/status/2059876069277090035 | https://x.com/Muskanjain0401/status/2058431802541510747 | https://x.com/_akashnagaraj/status/2060374101592801619,
Sourcegraph,sourcegraph,@sourcegraph,20,20,0,100,https://x.com/swyx/status/2031738916550897743 | https://x.com/DanielNealAdler/status/2035616639912452505 | https://x.com/DanielNealAdler/status/2057943749502902629,
Sourcegraph Cody,sourcegraph-cody,@sourcegraph,20,20,0,100,https://x.com/swyx/status/2031738916550897743 | https://x.com/DanielNealAdler/status/2035616639912452505 | https://x.com/snyksec/status/2038320709177352382,
Spline,spline,@splinetool,20,19,1,100,https://x.com/SebCornelius/status/2061070515695915105 | https://x.com/SebCornelius/status/2059589909829328916 | https://x.com/DmitryLepisov/status/2059271116376477813,hard_reject_non_english:1
Stable Diffusion,stable-diffusion,@StabilityAI,20,16,4,100,https://x.com/LLuciano_BTC/status/2056392237177856489 | https://x.com/multimodalart/status/2057154251558682798 | https://x.com/rendernetwork/status/2060158200146489521,hard_reject_non_english:3; hard_reject_crypto_noise:1
Stagehand,stagehand,@Stagehanddev,20,19,1,100,https://x.com/baz_scm/status/2011856100522361016 | https://x.com/jamiesmotion/status/2011547134785720747 | https://x.com/kylejeong/status/2021682279001829423,hard_reject_crypto_noise:1
Step 3.7 Flash,step-3-7-flash,@StepFun_ai,19,18,1,100,https://x.com/FireworksAI_HQ/status/2062382990685360398 | https://x.com/vllm_project/status/2060741408198394188 | https://x.com/godofprompt/status/2063912600472285296,hard_reject_non_english:1
Subquadratic,subquadratic,@subquadratic,20,10,4,100,https://x.com/daniel_mac8/status/2055242277451129012 | https://x.com/GregKamradt/status/2054944935984685463 | https://x.com/AppenResearch/status/2054250325599510750,hard_reject_non_english:2; hard_reject_crypto_noise:2
Suno,suno,@suno,20,10,4,100,https://x.com/ingi_erlingsson/status/2062568030010265822 | https://x.com/mvanhorn/status/2062549714814525636 | https://x.com/swang_co/status/2062608050372988948,hard_reject_crypto_noise:3; hard_reject_non_english:1
Superhuman AI,superhuman-ai,@Superhuman,20,17,3,100,https://x.com/QuinnyPig/status/2059451525953675747 | https://x.com/nikstep/status/2059142950014034356 | https://x.com/databricks/status/2057108923966996710,hard_reject_crypto_noise:2; hard_reject_non_english:1
Synthesia,synthesia,@synthesiaio,20,10,3,100,https://x.com/SebJohnsonUK/status/2050844373311492205 | https://x.com/etnshow/status/2047254448305582273 | https://x.com/etnshow/status/2052326856305639894,hard_reject_crypto_noise:3; hard_reject_bluechip_crypto_noise:3
Tabnine,tabnine,@tabnine,20,18,2,100,https://x.com/Hartdrawss/status/2029414227744596085 | https://x.com/amuldotexe/status/1904381411672617251 | https://x.com/iPhelipeVR/status/1924265206194041261,hard_reject_non_english:2
Tavily,tavily,@tavilyai,20,18,2,100,https://x.com/romanchernin/status/2061358084925039097 | https://x.com/1littlecoder/status/2063994256617021495 | https://x.com/CoinbaseDev/status/2060074529712742767,hard_reject_non_english:1; hard_reject_crypto_noise:1
Tavus,tavus,@heytavus,20,19,1,100,https://x.com/sdianahu/status/1972787153106358781 | https://x.com/kwindla/status/1962722519523434762 | https://x.com/cartesia/status/1969060094823502003,hard_reject_crypto_noise:1
Temporal,temporal,@temporalio,20,18,2,100,https://x.com/mastra/status/2054275575188242738 | https://x.com/inazarova/status/2057629048688525515 | https://x.com/jonathangrahl/status/2052545713351856179,hard_reject_non_english:2
Together AI,together-ai,@togethercompute,20,16,4,100,https://x.com/MiniMax_AI/status/2061913941702533241 | https://x.com/nutlope/status/2062570629128196136 | https://x.com/vipulved/status/2061296326764282186,hard_reject_non_english:4; hard_reject_crypto_noise:3
Tome,tome,@magicaltome,20,20,0,100,https://x.com/hliriani/status/1829284172470620613 | https://x.com/jayneil/status/1888951138529230855 | https://x.com/keithpeiris/status/1816182878218379441,
TradingView,tradingview,@tradingview,20,11,9,100,https://x.com/TraderDemircan/status/2062546911270248749 | https://x.com/TraderDemircan/status/2062545745819955455 | https://x.com/TraderDemircan/status/2062554069957304411,hard_reject_non_english:9
Trigger.dev,trigger-dev,@triggerdotdev,20,20,0,100,https://x.com/bzagrodzki/status/2038295882064654815 | https://x.com/koomen/status/2053187761029668930 | https://x.com/ScalingDevTools/status/2042646220653371493,
Tripo,tripo,@TripoAI,20,15,5,100,https://x.com/ComfyUI/status/2061509306743398668 | https://x.com/levelsio/status/2059670995259015647 | https://x.com/RadianceFields/status/2061515964127039683,hard_reject_non_english:4; hard_reject_crypto_noise:1
Typefully,typefully,@typefully,20,10,4,100,https://x.com/marclou/status/2059978754269847986 | https://x.com/degensing/status/2060699170369908810 | https://x.com/Eli5defi/status/2044490713644339575,hard_reject_non_english:3; hard_reject_crypto_noise:1
Udio,udio,@udiomusic,19,10,3,100,https://x.com/LEGIO_X_/status/2029589785065463843 | https://x.com/r3plic4nt206/status/2060733864964931975 | https://x.com/Deto_RDC/status/2035159014229594283,hard_reject_non_english:3
Unstructured,unstructured,@UnstructuredIO,20,16,4,100,https://x.com/cerebras/status/2026761867813859388 | https://x.com/PlanoGaming/status/2056652202077454650 | https://x.com/BainCapVC/status/2036827358360228184,hard_reject_crypto_noise:4; hard_reject_non_english:1
v0,v0,@v0,20,10,2,100,https://x.com/rauchg/status/2062199585322529108 | https://x.com/aryamankhawow/status/2061822543674163332 | https://x.com/YoheiNishitsuji/status/2060447297323049227,hard_reject_non_english:1; hard_reject_crypto_noise:1
Veed,veed,@veedstudio,20,18,2,100,https://x.com/C3Know/status/2058268346429190235 | https://x.com/timikareem/status/2061463520340766869 | https://x.com/MonetizationDon/status/2061864438781600081,hard_reject_non_english:2
Vercel,vercel,@vercel,20,10,1,100,https://x.com/rauchg/status/2062535454130676193 | https://x.com/rauchg/status/2062332963636060313 | https://x.com/TracyMassaro_/status/2062258736509358455,hard_reject_crypto_noise:1; hard_reject_bluechip_crypto_noise:1
Veriff,veriff,@Veriff,20,10,2,100,https://x.com/MassPay_io/status/2020850873262395736 | https://x.com/ycombinator/status/1998489881048502659 | https://x.com/XChangeon/status/1971608901989929045,hard_reject_crypto_noise:2
Vertex AI,vertex-ai,@GoogleCloud,20,17,3,100,https://x.com/MLB/status/2062256853581500924 | https://x.com/MLBStats/status/2062225756483137974 | https://x.com/McLarenF1/status/2062904903618507149,hard_reject_crypto_noise:3
Vidu,vidu,@ViduAI_official,20,15,5,100,https://x.com/YaZoraiz/status/2061812746761453901 | https://x.com/VesperB_VT/status/2062253294810988822 | https://x.com/Bic_Revelation/status/2062399168900153441,hard_reject_non_english:5
Voiceflow,voiceflow,@VoiceflowHQ,20,20,0,100,https://x.com/uxuimartin/status/2007021932341010897 | https://x.com/ReamBraden/status/1983897158526083408 | https://x.com/FikeDove/status/1963597622666826149,
Weaviate,weaviate,@weaviate_io,20,19,1,100,https://x.com/patloeber/status/2031708842547954094 | https://x.com/victorialslocum/status/2032141700412686592 | https://x.com/CShorten30/status/2056374396005064718,hard_reject_crypto_noise:1
Webflow AI,webflow-ai,@webflow,20,19,1,100,https://x.com/LayoffAI/status/2060115509543330059 | https://x.com/RalconStudio/status/2061394828261208537 | https://x.com/MaybeFlorent/status/2062183377067790410,hard_reject_non_english:1
Weights & Biases,weights-biases,@wandb,20,20,0,100,https://x.com/_fracapuano/status/2063597767952388355 | https://x.com/CoreWeave/status/2062190821747945928 | https://x.com/sofiiiiiasz/status/2063800833180070289,
Willow Scribe,willow-scribe,@WillowVoiceAI,20,18,2,100,https://x.com/DamexyThe/status/2059328195560681631 | https://x.com/erikalee/status/2064415786048143801 | https://x.com/Sujay__Raj/status/2060023418276503650,hard_reject_crypto_noise:2
Windsurf,windsurf,@windsurf,20,10,5,100,https://x.com/rasta_syntaX/status/2059218374966628838 | https://x.com/trynullsec/status/2060441669057581190 | https://x.com/sandeepDshah/status/2061963866859323611,hard_reject_crypto_noise:4; hard_reject_non_english:1
Wingbits AI,wingbits-ai,@Wingbits,20,20,0,100,https://x.com/solana/status/2060366333502472265 | https://x.com/airlivenet/status/2061085038570053649 | https://x.com/yenalmh/status/2060984767667941658,
Wordtune,wordtune,@wordtune,20,17,3,100,https://x.com/threadingfinese/status/2008772285331898842 | https://x.com/TheWorldIA/status/1722320289676017707 | https://x.com/DropYourAI/status/1719800946295713810,hard_reject_non_english:2; hard_reject_crypto_noise:1
Wordware,wordware,@wordware,20,13,7,100,https://x.com/ProductHunt/status/2011440652928868757 | https://x.com/adilmania/status/2022796667884388710 | https://x.com/dexhorthy/status/1997004114463691106,hard_reject_non_english:4; hard_reject_crypto_noise:3
Workato,workato,@Workato,20,19,1,100,https://x.com/grinich/status/2039450542552871103 | https://x.com/digitalocean/status/2049342962279100569 | https://x.com/digitalocean/status/2057130199787962437,hard_reject_non_english:1
World Labs,world-labs,@theworldlabs,20,19,1,100,https://x.com/drfeifei/status/2064387365930676695 | https://x.com/jamesckane/status/2059420122943541461 | https://x.com/morietschel/status/2063711773593854403,hard_reject_non_english:1
Writer,writer,@Get_Writer,20,19,1,100,https://x.com/daytonaio/status/2011099410357240125 | https://x.com/iamKierraD/status/2041735458334634422 | https://x.com/darian314/status/2031466317254144341,hard_reject_non_english:1
You.com,you-com,@YouSearchEngine,20,15,5,100,https://x.com/MervinPraison/status/1804036904125374504 | https://x.com/JulianGoldieSEO/status/1810556211001270472 | https://x.com/thealexbanks/status/1807746241456910606,hard_reject_crypto_noise:3; hard_reject_non_english:2
Zapier,zapier,@zapier,20,10,1,100,https://x.com/wadefoster/status/2062517977938010121 | https://x.com/imsalariasahil/status/2062120164817338494 | https://x.com/BoBrainerd/status/2062026840739316166,hard_reject_crypto_noise:1
Zed,zed,@zeddotdev,20,20,0,100,https://x.com/obiabo_immanuel/status/2062511127959892467 | https://x.com/martyitsarocket/status/2061172637154566161 | https://x.com/EffectTS_/status/2062985856558776422,
Zendesk AI,zendesk-ai,@zendesk,20,18,2,100,https://x.com/valkyries/status/2059370089150067018 | https://x.com/TracyMassaro_/status/2062344749990764731 | https://x.com/TheSixFiveMedia/status/2062625436434071588,hard_reject_crypto_noise:2
zero.xyz,zero-xyz,@zeroxyz,20,18,2,100,https://x.com/Michael_Ludden/status/2056396441564880955 | https://x.com/thestartpod/status/2059745222507024471 | https://x.com/realdanbaum/status/2059545398415409239,hard_reject_crypto_noise:2
AnythingLLM,anythingllm,@mintplexlabs,10,8,2,80,https://x.com/LangChain/status/1733892832904306793 | https://x.com/trending_repos/status/1833067257565708418 | https://x.com/lancedb/status/1907463049021174086,hard_reject_non_english:2
Connected Papers,connected-papers,@ConnectedPapers,8,8,0,80,https://x.com/Faheem_uh/status/1883440403338133798 | https://x.com/Faheem_uh/status/1950132803909128256 | https://x.com/Faheem_uh/status/2044891448483721676,
DefiLlama,defillama,@DefiLlama,20,8,12,80,https://x.com/wagmiAlexander/status/2062520420864078009 | https://x.com/angelo_onchain/status/2061887668955283606 | https://x.com/patfscott/status/2061972514545311769,hard_reject_crypto_noise:11; hard_reject_non_english:1
Nansen,nansen,@nansen_ai,20,8,12,80,https://x.com/MarcinPress/status/2062448616782901739 | https://x.com/Defi_Warhol/status/2061762249317102066 | https://x.com/evgen_by/status/2062183052063707454,hard_reject_crypto_noise:12; hard_reject_non_english:1
remio,remio,@remio_ai,20,8,12,80,https://x.com/Hailey4AI/status/2019640560647303547 | https://x.com/Dipanshu_AI/status/2011409589552730499 | https://x.com/thestartpod/status/2011610312756060213,hard_reject_non_english:12
DeepBrain AI,deepbrain-ai,@DeepBrainAI,7,7,0,70,https://x.com/Faheem_uh/status/1890468168935804960 | https://x.com/defiancemediatv/status/2059289886176199112 | https://x.com/LaVonneRoberts/status/1744057712399540351,
Stockimg AI,stockimg-ai,@stockimgAI,20,6,14,60,https://x.com/vince19visuals/status/1842915259553849766 | https://x.com/vince19visuals/status/1842647121637347584 | https://x.com/codedailyML/status/1853050649920872709,hard_reject_non_english:14
TrendSpider,trendspider,@TrendSpider,20,6,14,60,https://x.com/Liathetrader/status/2059642380630757500 | https://x.com/0xTwat/status/2060465330221207585 | https://x.com/zeiierman/status/2057511682281447909,hard_reject_crypto_noise:14; hard_reject_non_english:1
Fetcher,fetcher,@fetcherai,5,5,0,50,https://x.com/RecruitingBlogs/status/1638251137122856965 | https://x.com/ashasaxena101/status/1612593977345048576 | https://x.com/RecruitingDaily/status/1638590372585644054,
VoxDeck,voxdeck,@voxdeckai,5,5,0,50,https://x.com/Diptish09/status/1986667151152062807 | https://x.com/SarahAnnabels/status/1986086138617254179 | https://x.com/ThatsEFM/status/1989940158280708391,
Arkham,arkham,@ArkhamIntel,20,4,16,40,https://x.com/aigarxyz/status/2054139522242273561 | https://x.com/drugozz/status/2004957570084094434 | https://x.com/GlowTokenOrg/status/1994156274729021908,hard_reject_crypto_noise:14; hard_reject_non_english:3
Clay,clay,@ClayHQ,20,3,17,30,https://x.com/zmh/status/1933222698089427371 | https://x.com/paulgeller/status/2011138466449694913 | https://x.com/mattmedeiros/status/1945105345111580896,unrelated_tool_post:17; hard_reject_non_english:1
LangGraph,langgraph,@LangChainAI,20,3,17,30,https://x.com/itsafiz/status/2006214122594021510 | https://x.com/yadnesh_sa88965/status/2002444761215742090 | https://x.com/TDataScience/status/2004181839255138332,unrelated_tool_post:17
Parsewise API,parsewise-api,@parsewise,3,3,0,30,https://x.com/adriankuleszo/status/2038606032369532951 | https://x.com/ycombinator/status/1922789019093537145 | https://x.com/maximilianhofer/status/2031692456610128188,
Semantic Scholar,semantic-scholar,@SemanticScholar,3,3,0,30,https://x.com/Faheem_uh/status/2044891448483721676 | https://x.com/AkariAsai/status/2015130435810926638 | https://x.com/UmlandAndreas/status/2045871174572195896,
Typeahead,typeahead,@typeaheadAI,3,3,0,30,https://x.com/hnshah/status/2062195789817090108 | https://x.com/SamAsante/status/2061605259084984625 | https://x.com/SamAsante/status/2061605832769310757,
Blackbox AI,blackbox-ai,@blackbox_ai,2,2,0,20,https://x.com/AIwithArsalan/status/1928436049728229798 | https://x.com/tec_aryan/status/1928206677448478957,
Branda,branda,@brandacooks,2,2,0,20,https://x.com/davekova/status/2062587341512851602 | https://x.com/QuiverAI/status/2064370062128001142,
Exa,exa,@exa_ai,3,2,1,20,https://x.com/siliveru_v30261/status/1936734629802971589 | https://x.com/davidmeltzer/status/1932914135077171632,hard_reject_crypto_noise:1
Inbenta,inbenta,@inbenta,7,2,5,20,https://x.com/Omkar_Raii/status/1655871671532761089 | https://x.com/ThisWeekInVoice/status/1635411698063659008,hard_reject_non_english:1; hard_reject_crypto_noise:4
PlayAI,playai,@PlayAIOfficial,20,2,18,20,https://x.com/MichaelNuunes/status/1983628038224146603 | https://x.com/realmrfakename/status/1999649723771412728,hard_reject_crypto_noise:18
Santiment,santiment,@santimentfeed,20,2,18,20,https://x.com/LeonWaidmann/status/2062394921424740818 | https://x.com/Web3cryptoPump/status/2060968379217739846,hard_reject_crypto_noise:15; hard_reject_non_english:10
Tendem,tendem,@Tendem_AI,2,2,0,20,https://x.com/TolokaAI/status/2027038512973775072 | https://x.com/TolokaAI/status/2054909596632764879,
DodoForm,dodoform,@dofolabs,1,1,0,10,https://x.com/faizydroid/status/2058912073967616446,
LangSmith,langsmith,@LangChainAI,20,1,19,10,https://x.com/ChaiWithJai/status/2002895889690407382,unrelated_tool_post:19
Leonardo AI,leonardo-ai,@LeonardoAi_,20,1,19,10,https://x.com/zeng_wt/status/1978526655506198795,unrelated_tool_post:19; hard_reject_non_english:3
Research Rabbit,research-rabbit,@researchrabbit,1,1,0,10,https://x.com/RsrchRabbit/status/2052393162576933272,
Saveto AI,saveto-ai,@saveto_ai,1,1,0,10,https://x.com/UneedLists/status/2048659924251803870,
Ava Studio,ava-studio,@avastudio_ai,0,0,0,0,,
Clipline,clipline,@clipline_ai,0,0,0,0,,
Co-Invest,co-invest,@coinvest_ai,0,0,0,0,,
Convai,convai,@convai,0,0,0,0,,
Dreamina,dreamina,@DreaminaAI,0,0,0,0,,
Dune Keypad,dune-keypad,@projectmirageai,0,0,0,0,,
Krater,krater,@krater_ai,0,0,0,0,,
MCP Bridge | Appfactor,mcp-bridge-appfactor,@appfactor,0,0,0,0,,
Mina Meeting Assistant,mina-meeting-assistant,@HeyMinaAI,1,0,1,0,,hard_reject_non_english:1
Rezonant,rezonant,@rezonant_ai,0,0,0,0,,
SkyReels,skyreels,@SkyReelsAI,0,0,0,0,,
Tokenwise,tokenwise,@tokenwise_ai,0,0,0,0,,
